Father Culture,Father Race,Father Connected,Father Connected Text,Child Connected to Father Culture,Child Connected to Father Culture Text,"Child vs. Parent Connection (MORE, LESS, EQUAL)",Ways Child More Connected to Father Culture than Father,Ways Child Less Connected to Father Culture than Father,Mother Culture,Mother Race,Mother Connected,Mother Connected Text,Child Connected to Mother Culture,Child Connected to Mother Culture Text,"Child vs. Parent Connection (MORE, LESS, EQUAL)",Ways Child More Connected to Mother Culture than Mother,Ways Child Less Connected to Mother Culture than Mother,Third Culture,Third Race,Third Culture Relation,Third Connected,Third Connected Text,Child Connected to Third Culture,Child Connected to Third Culture Text,"Child vs. Parent Connection (MORE, LESS, EQUAL)",Ways Child More Connected to Third Culture than Third,Ways Child Less Connected to Third Culture than Third,Fourth Culture,Fourth Race,Fourth Culture Relation,Fourth Connected,Fourth Connected Text,Child Connected to Fourth Culture,Child Connected to Fourth Culture Text,"Child vs. Parent Connection (MORE, LESS, EQUAL)",Ways Child More Connected to Fourth Culture than Fourth,Ways Child Less Connected to Fourth Culture than Fourth,,ΔConnected to Father Culture,ΔConnected to Mother Culture
Greek,White,3,"Food, can speak, some holidays",2,"Holidays, food",LESS,,Less connected because I can't speak the language,Taiwanese,Asian,4,"Holidays, language, food",4,Same as my mom,EQUAL,,About the same,,,,,,,,,,,,,,,,,,,,,,-1,0
"Mixed European, Jewish",White,3,Family holidays,3,Family holidays,EQUAL,,,Chinese/Taiwanese,Asian,4,"Food, language",3,"Food, language",LESS,,Less exposure to language,,,,,,,,,,,,,,,,,,,,,,0,-1
Chinese,Asian,2,The only real connection is that he speaks mandarin with his parents.,1,Not at all,LESS,,I don’t speak mandarin ,Italian ,White,1,Not at all,1,"Not at all
",EQUAL,,,,,,,,,,,,,,,,,,,,,,,,-1,0
American,White,5,He is from Southern Virginia and celebrates every American holiday and loves American food and music. ,4,I celebrate all American holidays and I eat and listen to American food and music every day. I also dress very American. ,LESS,,"I do not look ""fully"" American/White because I have tan Filipino skin and my facial features are more Filipino(flatter nose). This makes people assume that I am not white. ",Filipino,Asian,3,"My mother immigrated from the Phillipeans to the U.S. at a young age. My mom cooks Filipino food for my family weekly and we stay connected with our many cousins, Lolo's, Lola's, Titos, and Titas every day. ",3,I eat Filipino food whenever I see it or have access to it and I am in the Filipino American Club at the University of Virginia which helps me make connections with people who have similar cultural experiences to me. ,EQUAL,,,,,,,,,,,,,,,,,,,,,,,,-1,0
Jewish,White,2,He had a bar mitzvah but he doesn’t practice or follow the religion,2,I know about my heritage and celebrate Hanukah but I don’t practice ,EQUAL,,,Indian,Asian,4,,4,,EQUAL,,,,,,,,,,,,,,,,,,,,,,,,0,0
Mixed European,White,4,"Holidays, food, religion",4,Same as above,EQUAL,I am equally connected,,Korean,Asian,4,"Food, family, holidays",4,Same as above,EQUAL,I frequently visit my family,,,,,,,,,,,,,,,,,,,,,,,0,0
Jewish,White,5,"Food (some), religion, holidays, travel",5,"Food, religion, language, holidays, travel to Israel",EQUAL,I am similarly connected,,Korean,Asian,3,"Food, some language",2,Food,LESS,,Slightly less as I don't really eat as much Korean food,,,,,,,,,,,,,,,,,,,,,,0,-1
White,White,3,"Language, lives here",3,"Language, lives here",EQUAL,Its about the same,,Korean,Asian,3,We've been to Korea + super Korean parents. Look,2,Korean grandparents. I've been to Korea,LESS,,I'm so less Korean,,,,,,,,,,,,,,,,,,,,,,0,-1
Jewish,White,4,Got a Bar Mitzvah. Celebrates Hanuka,4,Sorta know how to sing the hanuka song.,LESS,,Don't speak any hebrew. Never went to synagogue,Chinese,Asian,5,"Speaks Chinese, goes to China town a lot, connected with community",3,"learning to speak Chinese, connected with Chinese family",LESS,,"Chinese isn't good, never been to China",,,,,,,,,,,,,,,,,,,,,,0,-2
African American ,Black,2,Father only identifies as black does not participate in black culture.,4,Identify most with this culture because of appearance ,MORE,Food & social,,Filipino,Asian,4,"Holidays, food, social",4,"Holidays, food, social",EQUAL,,,,,,,,,,,,,,,,,,,,,,,,2,0
mixed European,White,1,I think my father's side comes from Germany/France but we have no family or any connections to keep in touch with this culture,1,"I am not at all, except that I like having a German/French last name",EQUAL,,,Japanese,Asian,5,My mom is a Japanese citizen and still travels to Japan to visit parents/brother/family etc,3,"I don't speak Japanese fluently but still feel that it is a big part of my identity. I feel impacted by the history of Japanese discrimination and connected to and admire cultural practices surrounding gifting, food culture and respect. I very much identify as half asian, which I think has its own culture in America and feel that is different than what my mother would experience.",LESS,,"I am not as close to our Japanese family as my mom is, the language barrier plays a big role in this as well.",,,,,,,,,,,,,,,,,,,,,,0,-2
